date,campaign_id,source,medium,campaign,term,content,spend,clicks,sessions,orders,revenue,gross_margin,new_customers
2025-01-01,C001,Google,CPC,,northstar outfitters,text-ad,57.26,104,90,8,725.12,283.90,2
2025-01-01,C002,Google,CPC,generic hiking jackets,hiking jacket,text-ad,107.04,102,81,2,247.94,107.09,1
2025-01-01,C003,google,CPC,Shopping-All ,,pla,224.05,361,322,10,881.11,402.48,6
2025-01-01,C004,fb,paid-social, RETARGETING-VIEWERS,,carousel,82.18,171,135,3,249.87,93.87,1
2025-01-01,C005,facebook,social,prospecting-lookalike,,video,102.05,243,193,3,205.78,92.10,2
2025-01-01,C006,instagram,paid-social,prospecting-lookalike,,story,98.78,194,152,1,72.37,35.34,1
2025-01-01,C008,Bing,cpc,,backpack,text-ad,37.99,54,44,1,98.53,44.76,1
2025-01-01,C009,Affiliate,referral,partner outdoorblog,,banner,194.47,749,589,19,2430.91,1097.51,11
2025-01-02,C001,google,ppc,Brand-Search ,northstar outfitters,text-ad,54.86,100,91,7,703.92,306.68,2
2025-01-02,C002,google,cpc, GENERIC-HIKING-JACKETS,hiking jacket,text-ad,121.33,116,99,3,424.09,173.21,2
2025-01-02,C003,Google,ppc,shopping-all,,pla,208.77,337,308,8,661.28,258.72,4
2025-01-02,C004,Facebook,Paid Social,retargeting-viewers,,carousel,68.16,142,128,3,245.48,122.56,1
2025-01-02,C005,meta,paid-social,,,video,120.68,287,233,2,145.78,69.58,2
2025-01-02,C006,IG,social,prospecting lookalike,,story,84.27,165,130,1,64.75,28.96,1
2025-01-02,C007,newsletter,newsletter,Weekly-Newsletter ,,header-link,12.00,544,480,24,2582.42,1035.85,2
2025-01-02,C008,bing,cpc, GENERIC-BACKPACKS,backpack,text-ad,48.27,69,57,1,104.60,47.73,1
2025-01-02,C009,affiliate,Affiliate,partner-outdoorblog,,banner,155.64,554,507,17,1945.51,962.11,10
2025-01-03,C001,Google,CPC,brand-search,northstar outfitters,text-ad,52.88,96,76,6,642.95,285.44,2
2025-01-03,C002,Google,cpc,,hiking jacket,text-ad,143.24,136,117,3,386.09,160.78,2
2025-01-03,C003,Google,cpc,shopping all,,pla,184.24,297,276,7,593.23,291.92,4
2025-01-03,C004,facebook,paid social,Retargeting-Viewers ,,carousel,97.08,202,160,3,251.87,122.83,1
2025-01-03,C005,fb,social, PROSPECTING-LOOKALIKE,,video,102.97,245,226,3,215.26,93.57,2
2025-01-03,C006,IG,paid social,prospecting-lookalike,,story,93.02,182,149,2,147.68,54.67,2
2025-01-03,C008,bing,CPC,generic-backpacks,backpack,text-ad,39.86,57,48,1,122.68,48.46,1
2025-01-03,C009,Affiliate,affiliate,,,banner,194.54,878,759,21,2431.80,1044.49,13
2025-01-04,C001,Google,cpc,brand search,northstar outfitters,text-ad,72.28,131,104,9,980.21,446.65,2
2025-01-04,C002,google,cpc,Generic-Hiking-Jackets ,hiking jacket,text-ad,161.19,154,130,4,573.20,261.46,2
2025-01-04,C003,Google,ppc, SHOPPING-ALL,,pla,175.41,283,231,8,763.10,275.26,4
2025-01-04,C004,meta,paid social,retargeting-viewers,,carousel,81.51,170,147,3,220.96,85.36,1
2025-01-04,C005,Facebook,social,prospecting-lookalike,,video,98.52,235,188,2,151.75,68.19,2
2025-01-04,C006,Instagram,social,,,story,72.33,142,114,1,75.12,34.18,1
2025-01-04,C008,bing,ppc,generic backpacks,backpack,text-ad,49.25,70,58,1,105.81,47.76,1
2025-01-04,C009,Affiliate,referral,Partner-Outdoorblog ,,banner,85.34,413,375,10,1066.75,395.27,6
2025-01-05,C001,google,ppc, BRAND-SEARCH,northstar outfitters,text-ad,61.87,112,103,9,811.66,340.95,2
2025-01-05,C002,Google,cpc,generic-hiking-jackets,hiking jacket,text-ad,170.93,163,150,5,634.97,253.01,3
2025-01-05,C003,google,ppc,shopping-all,,pla,148.41,239,196,6,580.39,262.57,3
2025-01-05,C004,fb,paid social,,,carousel,75.24,157,127,3,266.06,113.38,1
2025-01-05,C005,fb,Paid Social,prospecting lookalike,,video,148.78,354,315,4,303.13,125.17,3
2025-01-05,C006,instagram,paid-social,Prospecting-Lookalike ,,story,78.30,154,140,1,67.33,32.13,1
2025-01-05,C008,Bing,cpc, GENERIC-BACKPACKS,backpack,text-ad,44.56,64,56,1,98.32,38.49,1
2025-01-05,C009,Affiliate,affiliate,partner-outdoorblog,,banner,114.33,426,351,12,1429.13,515.40,7
2025-01-06,C001,google,ppc,brand-search,northstar outfitters,text-ad,69.08,126,104,7,711.98,322.56,2
2025-01-06,C002,Google,ppc,,hiking jacket,text-ad,127.70,122,109,4,520.04,223.40,2
2025-01-06,C003,Google,CPC,shopping all,,pla,135.49,219,192,6,561.32,261.65,3
2025-01-06,C004,meta,Paid Social,Retargeting-Viewers ,,carousel,82.82,173,153,4,297.75,140.44,1
2025-01-06,C005,fb,paid social, PROSPECTING-LOOKALIKE,,video,128.52,306,285,3,221.06,84.60,2
2025-01-06,C006,instagram,Paid Social,prospecting-lookalike,,story,70.36,138,127,1,70.25,34.76,1
2025-01-06,C008,Bing,cpc,generic-backpacks,backpack,text-ad,34.93,50,39,1,112.26,53.50,1
2025-01-06,C009,affiliate,affiliate,,,banner,275.12,1155,962,26,3439.01,1494.80,16
2025-01-07,C001,Google,CPC,brand search,northstar outfitters,text-ad,45.90,83,65,4,415.63,186.79,1
2025-01-07,C002,google,cpc,Generic-Hiking-Jackets ,hiking jacket,text-ad,112.91,108,98,3,418.87,184.68,2
