product_id,parent_id,sku,title_en,title_de,brand,category,price,currency,margin_rate,stock,size,color,material,weight_grams,description_en,description_de,image_url,gtin,availability,condition,google_product_category
NSP-0001,,AUR-aurora-shell-jacket-s,Aurora Shell Jacket,Aurora Hardshell-Jacke,AURORA GEAR,jackets,"€179,00",EUR,0.52,,S,,,480,"The best jacket in the world. 100% waterproof forever, guaranteed for life!",<p><b>Aurora Shell Jacket</b><br/>Aurora Shell Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.</p>,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-s.jpg,,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0002,NSP-0001,AUR-aurora-shell-jacket-m,Aurora Shell Jacket,Aurora Hardshell-Jacke,aurora gear, JACKETS ,184.00,EUR,0.40,55,M,Forest,recycled polyester,495,Aurora Shell Jacket in forest. Made with recycled polyester for reliable performance on the trail and around town.,Aurora Hardshell-Jacke in forest. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-m.jpg,4090838637940,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0003,NSP-0001,AUR-aurora-shell-jacket-l,Aurora Shell Jacket,Aurora Hardshell-Jacke,Aurora Gear,Jackets,189.00,EUR,0.54,194,L,Ember,recycled polyester,510,Aurora Shell Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,Aurora Hardshell-Jacke in ember. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-l.jpg,4065423511615,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0004,,NOR-ridgeline-insulated-jacket-s,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,NORTHSTAR,Jackets,219.00,EUR,0.41,154,S,Moss,nylon,620,Ridgeline Insulated Jacket in moss. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in moss. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-s.jpg,4007816184959,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0005,NSP-0004,NOR-ridgeline-insulated-jacket-m,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,northstar,jackets,224.00,EUR,0.51,49,Medium,Charcoal,nylon,635,Ridgeline Insulated Jacket in charcoal. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in charcoal. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-m.jpg,4003413164752,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0006,NSP-0004,AUR-aurora-shell-jacket-l,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,Northstar, JACKETS ,229.00,EUR,0.43,94,lg,Moss,nylon,650,Ridgeline Insulated Jacket in moss. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in moss. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-l.jpg,,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0007,,AUR-fjord-rain-jacket-s,Fjord Rain Jacket,Fjord Regenjacke,AURORA GEAR,Jackets,139.00,EUR,0.54,83,S,Slate,recycled polyester,390,<p><b>Fjord Rain Jacket</b><br/>Fjord Rain Jacket in slate. Made with recycled polyester for reliable performance on the trail and around town.</p>,Fjord Regenjacke in slate. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-s.jpg,4003056413953,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0008,NSP-0007,AUR-fjord-rain-jacket-m,Fjord Rain Jacket,Fjord Regenjacke,aurora gear,Jackets,144.00,EUR,0.46,167,M,Ember,recycled polyester,405,Fjord Rain Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,Fjord Rain Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-m.jpg,4072423884969,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0009,NSP-0007,AUR-fjord-rain-jacket-l,Fjord Rain Jacket,Fjord Regenjacke,Aurora Gear,jackets,149.00,EUR,0.43,102,L,Slate,,420,Fjord Rain Jacket in slate. Made with recycled polyester for reliable performance on the trail and around town.,Fjord Regenjacke in slate. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-l.jpg,4028710122691,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0010,,NOR-windbreaker-lite-jacket-s,Windbreaker Lite Jacket,Windbreaker Lite Jacke,NORTHSTAR, JACKETS ,99.00,EUR,0.58,152,S,,ripstop nylon,210,Windbreaker Lite Jacket in sand. Made with ripstop nylon for reliable performance on the trail and around town.,Windbreaker Lite Jacke in sand. Gefertigt aus ripstop nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-windbreaker-lite-jacket-s.jpg,4084801845146,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0011,NSP-0010,NOR-windbreaker-lite-jacket-m,Windbreaker Lite Jacket,Windbreaker Lite Jacke,northstar,Jackets,104.00,EUR,0.45,40,m,Sand,ripstop nylon,225,"Scientifically proven to keep you warm in any weather, no matter what.",Windbreaker Lite Jacke in sand. Gefertigt aus ripstop nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-windbreaker-lite-jacket-m.jpg,,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0012,NSP-0010,NOR-windbreaker-lite-jacket-l,Windbreaker Lite Jacket,Windbreaker Lite Jacke,Northstar,Jackets,"€109,00",EUR,0.39,195,Large,Sand,ripstop nylon,240,Windbreaker Lite Jacket in sand. Made with ripstop nylon for reliable performance on the trail and around town.,Windbreaker Lite Jacke in sand. Gefertigt aus ripstop nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-windbreaker-lite-jacket-l.jpg,4080957015430,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0013,,NOR-trailforge-hiker-eu-41,TrailForge Hiker,TrailForge Wanderschuh,NORTHSTAR,shoes,149.00,EUR,0.37,20,41,Slate,suede and mesh,820,<p><b>TrailForge Hiker</b><br/>TrailForge Hiker in slate. Made with suede and mesh for reliable performance on the trail and around town.</p>,TrailForge Wanderschuh in slate. Gefertigt aus suede and mesh fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-trailforge-hiker-eu-41.jpg,4071822782489,in stock,new,Apparel & Accessories > Shoes
NSP-0014,NSP-0013,NOR-trailforge-hiker-eu-43,TrailForge Hiker,TrailForge Wanderschuh,northstar, SHOES ,154.00,EUR,0.57,,EU 43,Ink Blue,suede and mesh,835,TrailForge Hiker in ink blue. Made with suede and mesh for reliable performance on the trail and around town.,TrailForge Wanderschuh in ink blue. Gefertigt aus suede and mesh fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-trailforge-hiker-eu-43.jpg,4083465787133,in stock,new,Apparel & Accessories > Shoes
