product_id,parent_id,sku,title_en,title_de,brand,category,price,currency,margin_rate,stock,size,color,material,weight_grams,description_en,description_de,image_url,gtin,availability,condition,google_product_category
NSP-0001,,AUR-aurora-shell-jacket-s,Aurora Shell Jacket,Aurora Hardshell-Jacke,Aurora Gear,Jackets,179.00,EUR,0.52,6,S,Ember,recycled polyester,480,Aurora Shell Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,Aurora Hardshell-Jacke in ember. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-s.jpg,4033218196001,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0002,NSP-0001,AUR-aurora-shell-jacket-m,Aurora Shell Jacket,Aurora Hardshell-Jacke,Aurora Gear,Jackets,184.00,EUR,0.40,55,M,Forest,recycled polyester,495,Aurora Shell Jacket in forest. Made with recycled polyester for reliable performance on the trail and around town.,Aurora Hardshell-Jacke in forest. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-m.jpg,4090838637940,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0003,NSP-0001,AUR-aurora-shell-jacket-l,Aurora Shell Jacket,Aurora Hardshell-Jacke,Aurora Gear,Jackets,189.00,EUR,0.54,194,L,Ember,recycled polyester,510,Aurora Shell Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,Aurora Hardshell-Jacke in ember. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-aurora-shell-jacket-l.jpg,4065423511615,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0004,,NOR-ridgeline-insulated-jacket-s,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,Northstar,Jackets,219.00,EUR,0.41,154,S,Moss,nylon,620,Ridgeline Insulated Jacket in moss. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in moss. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-s.jpg,4007816184959,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0005,NSP-0004,NOR-ridgeline-insulated-jacket-m,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,Northstar,Jackets,224.00,EUR,0.51,49,M,Charcoal,nylon,635,Ridgeline Insulated Jacket in charcoal. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in charcoal. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-m.jpg,4003413164752,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0006,NSP-0004,NOR-ridgeline-insulated-jacket-l,Ridgeline Insulated Jacket,Ridgeline Isolierjacke,Northstar,Jackets,229.00,EUR,0.43,94,L,Moss,nylon,650,Ridgeline Insulated Jacket in moss. Made with nylon for reliable performance on the trail and around town.,Ridgeline Isolierjacke in moss. Gefertigt aus nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-ridgeline-insulated-jacket-l.jpg,4041928327648,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0007,,AUR-fjord-rain-jacket-s,Fjord Rain Jacket,Fjord Regenjacke,Aurora Gear,Jackets,139.00,EUR,0.54,83,S,Slate,recycled polyester,390,Fjord Rain Jacket in slate. Made with recycled polyester for reliable performance on the trail and around town.,Fjord Regenjacke in slate. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-s.jpg,4003056413953,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0008,NSP-0007,AUR-fjord-rain-jacket-m,Fjord Rain Jacket,Fjord Regenjacke,Aurora Gear,Jackets,144.00,EUR,0.46,167,M,Ember,recycled polyester,405,Fjord Rain Jacket in ember. Made with recycled polyester for reliable performance on the trail and around town.,Fjord Regenjacke in ember. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-m.jpg,4072423884969,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0009,NSP-0007,AUR-fjord-rain-jacket-l,Fjord Rain Jacket,Fjord Regenjacke,Aurora Gear,Jackets,149.00,EUR,0.43,102,L,Slate,recycled polyester,420,Fjord Rain Jacket in slate. Made with recycled polyester for reliable performance on the trail and around town.,Fjord Regenjacke in slate. Gefertigt aus recycled polyester fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/AUR-fjord-rain-jacket-l.jpg,4028710122691,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
NSP-0010,,NOR-windbreaker-lite-jacket-s,Windbreaker Lite Jacket,Windbreaker Lite Jacke,Northstar,Jackets,99.00,EUR,0.58,152,S,Sand,ripstop nylon,210,Windbreaker Lite Jacket in sand. Made with ripstop nylon for reliable performance on the trail and around town.,Windbreaker Lite Jacke in sand. Gefertigt aus ripstop nylon fuer zuverlaessige Leistung auf dem Trail und im Alltag.,https://cdn.northstar-outfitters.example/img/NOR-windbreaker-lite-jacket-s.jpg,4084801845146,in stock,new,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets
